Date,Open,High,Low,Close,Adj Close,Volume,Days
2019-09-13,106.875,107.3125,104.75,105.6875,105.6875,339760,399
2019-09-16,125.3125,137.4375,124.5,130.8125,130.8125,2053264,400
2019-09-17,132.8125,132.9375,116.8125,119.5625,119.5625,1716480,401
2019-09-18,116.4375,119.125,114.1875,115.8125,115.8125,582064,402
2019-09-19,118.5,119.375,116.0625,117.625,117.625,404608,403
2019-09-20,118.4375,120,115.5625,117.625,117.625,378800,404
2019-09-23,116.75,118.5625,114.75,117.8125,117.8125,356048,405
2019-09-24,116.25,116.6875,111.1875,111.875,111.875,504624,406
2019-09-25,107.4375,110.4375,106.4375,109.9375,109.9375,520800,407
2019-09-26,108.0625,110.375,105.625,109.9375,109.9375,591792,408
